13:01:42 INFO  : updated workspace path: C:\OCDS\cloude-detection-accelerator
13:01:46 INFO  : Marking the target connection as default Local
13:01:46 INFO  : Marking the target connection as default Linux Agent
13:01:46 INFO  : Marking the target connection as default XRTServer
13:01:46 INFO  : Marking the target connection as default LinuxEmulation
13:01:46 INFO  : Marking the target connection as default QEMU
13:01:46 INFO  : created .gitignore file for the project C:\OCDS\cloude-detection-accelerator
13:01:52 INFO  : cmd.exe, /C, empyro.bat repo -st   C:\AMDDesignTools\2025.2\Vitis\data\embeddedsw
13:01:54 INFO  : [INFO]: Initializing repositories
13:01:54 INFO  : [INFO]: Successfully set the EmbeddedSW path, refer .repo.yaml for more details.
13:01:54 INFO  : Successfully created repository data at C:\OCDS\cloude-detection-accelerator/_ide\.wsdata
13:01:54 INFO  : cmd.exe, /C, empyro.bat get_template_data -d C:\Users\vip\AppData\Local\Temp\rigel_lopper_vip15068507587297762966 -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
13:01:54 INFO  : Embedded Template List generated successfully
16:29:59 INFO  : Using sdt generation script from C:\AMDDesignTools\2025.2\Vitis\vitis-server\scripts\platformutil.tcl
16:29:59 INFO  : cmd.exe, /C, sdtgen.bat C:\AMDDesignTools\2025.2\Vitis\vitis-server\scripts\platformutil.tcl C:\OCDS\cloude-detection-accelerator\mlp_ip_generater\mlp_cloud_detection_wrapper.xsa C:\OCDS\cloude-detection-accelerator\.rigel_lopper_temp_platform\mlp_cloud_detection_wrapper\hw\sdt
16:30:20 INFO  : INFO: C:\OCDS\cloude-detection-accelerator\.rigel_lopper_temp_platform\mlp_cloud_detection_wrapper\hw\sdt exists. Files will be overwritten
16:30:20 INFO  : -xsa C:\OCDS\cloude-detection-accelerator\mlp_ip_generater\mlp_cloud_detection_wrapper.xsa
16:30:20 INFO  : -dir C:\OCDS\cloude-detection-accelerator\.rigel_lopper_temp_platform\mlp_cloud_detection_wrapper\hw\sdt
16:30:20 INFO  : -board_dts 
16:30:20 INFO  : -include_dts 
16:30:20 INFO  : -repo C:/AMDDesignTools/2025.2/Vitis/data/system-device-tree-xlnx
16:30:20 INFO  : -zocl disable
16:30:20 INFO  : INFO: [Hsi 55-2053] elapsed time for repository (C:/AMDDesignTools/2025.2/Vitis/data/embeddedsw) loading 0 seconds
16:30:20 INFO  : hsi::open_hw_design: Time (s): cpu = 00:00:07 ; elapsed = 00:00:07 . Memory (MB): peak = 271.605 ; gain = 187.047
16:30:20 INFO  : SDT generated successfully
16:30:20 INFO  : Lopper command for cpu List generation: lopper.bat --enhanced --werror -f -O C:\OCDS\cloude-detection-accelerator\.rigel_lopper -i lop-cpu-oslist.dts C:\OCDS\cloude-detection-accelerator\.rigel_lopper_temp_platform\mlp_cloud_detection_wrapper\hw\sdt\system-top.dts
16:30:20 INFO  : cmd.exe, /C, lopper.bat --enhanced --werror -f -O C:\OCDS\cloude-detection-accelerator\.rigel_lopper -i lop-cpu-oslist.dts C:\OCDS\cloude-detection-accelerator\.rigel_lopper_temp_platform\mlp_cloud_detection_wrapper\hw\sdt\system-top.dts
16:30:26 INFO  : CPU List generated successfully
16:33:18 INFO  : Platform OCDS_platform creation started.
16:33:19 INFO  : Lopper command for cpu List generation: lopper.bat --enhanced --werror -f -O C:\OCDS\cloude-detection-accelerator\.rigel_lopper -i lop-cpu-oslist.dts C:\OCDS\cloude-detection-accelerator\OCDS_platform\hw\sdt\system-top.dts
